List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,0.0%,20.0%
r33,100.0%,100.0%
r12,3.3%,36.7%
r13,8.6%,40.0%
r6,97.1%,97.1%
r29,13.5%,0.0%
r3,80.0%,86.7%
r24,5.0%,25.0%
r32,100.0%,100.0%
r16,0.0%,30.0%
r28,24.4%,33.3%
r25,10.0%,6.7%
r23,11.1%,5.6%
r18,20.0%,10.0%
r11,26.7%,15.6%
r27,96.0%,96.0%
r5,7.5%,7.5%
r17,0.0%,0.0%
r19,100.0%,100.0%
r8,93.3%,96.7%
r1,70.0%,0.0%
r30,3.3%,33.3%
r22,2.4%,2.4%
r26,13.3%,0.0%
r9,9.1%,0.0%
r14,53.3%,55.6%
r2,0.0%,5.0%
r20,12.5%,62.5%
r15,20.0%,0.0%
Total,30.3%,34.5%
