List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,23.3%
r10,40.0%,40.0%
r21,75.0%,75.0%
r34,80.0%,80.0%
r4,0.0%,20.0%
r33,100.0%,0.0%
r12,3.3%,10.0%
r13,94.3%,94.3%
r6,91.4%,91.4%
r29,90.4%,100.0%
r3,13.3%,0.0%
r24,15.0%,7.5%
r32,0.0%,0.0%
r16,46.7%,3.3%
r28,57.8%,57.8%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,20.0%,13.3%
r11,73.3%,2.2%
r27,96.0%,0.0%
r5,25.0%,55.0%
r17,36.7%,16.7%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,70.0%,0.0%
r30,0.0%,3.3%
r22,4.8%,23.8%
r26,40.0%,60.0%
r9,0.0%,100.0%
r14,48.9%,6.7%
r2,60.0%,60.0%
r20,20.0%,75.0%
r15,0.0%,0.0%
Total,44.8%,37.6%
