List,dec
r31,0.0%
r7,0.0%
r10,20.0%
r21,75.0%
r34,17.1%
r4,0.0%
r33,100.0%
r12,6.7%
r13,34.3%
r6,91.4%
r29,0.0%
r3,73.3%
r24,10.0%
r32,100.0%
r16,16.7%
r28,100.0%
r25,3.3%
r23,16.7%
r18,30.0%
r11,6.7%
r27,0.0%
r5,10.0%
r17,6.7%
r19,100.0%
r8,3.3%
r1,0.0%
r30,0.0%
r22,2.4%
r26,20.0%
r9,0.0%
r14,31.1%
r2,40.0%
r20,2.5%
r15,0.0%
Total,26.4%
