List,dec
r31,33.3%
r7,100.0%
r10,20.0%
r21,75.0%
r34,17.1%
r4,10.0%
r33,100.0%
r12,6.7%
r13,80.0%
r6,40.0%
r29,0.0%
r3,6.7%
r24,17.5%
r32,100.0%
r16,40.0%
r28,57.8%
r25,0.0%
r23,16.7%
r18,16.7%
r11,73.3%
r27,0.0%
r5,7.5%
r17,10.0%
r19,76.5%
r8,80.0%
r1,86.7%
r30,3.3%
r22,2.4%
r26,0.0%
r9,100.0%
r14,11.1%
r2,0.0%
r20,97.5%
r15,3.3%
Total,38.0%
