List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,40.0%
open_with,6.7%
text_empty,3.3%
share_with,94.2%
list+on_off,42.9%
advertisement+button,2.5%
image_list,60.0%
popup_date,0.0%
movie,23.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,46.7%
translate,0.0%
image_view,15.0%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,46.7%
popup_with_continue_as_name,2.9%
list,0.0%
camera,45.0%
picture,46.7%
popup,0.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,66.7%
calendar,73.3%
text_image,23.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,23.3%
