List,dec
text+button,38.9%
popup_with_access,80.0%
text_only,3.3%
open_with,35.6%
text_empty,10.0%
share_with,30.8%
list+on_off,68.6%
advertisement+button,67.5%
image_list,20.0%
popup_date,0.0%
movie,3.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,46.7%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,51.4%
list,2.5%
camera,45.0%
picture,6.7%
popup,16.7%
navigation_menu,6.7%
input_form,3.3%
select_dialog,60.0%
calendar,40.0%
text_image,3.3%
continue_button,2.4%
theme,9.1%
homescreen,0.0%
Total,25.7%
