List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,63.3%
open_with,51.1%
text_empty,3.3%
share_with,76.9%
list+on_off,22.9%
advertisement+button,70.0%
image_list,2.2%
popup_date,16.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,27.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,26.7%
popup,50.0%
navigation_menu,31.1%
input_form,0.0%
select_dialog,26.7%
calendar,10.0%
text_image,3.3%
continue_button,4.8%
theme,4.5%
homescreen,0.0%
Total,34.0%
