List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,36.7%
open_with,2.2%
text_empty,20.0%
share_with,94.2%
list+on_off,91.4%
advertisement+button,87.5%
image_list,64.4%
popup_date,0.0%
movie,56.7%
menu_list,5.7%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,12.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,25.0%
camera,2.5%
picture,0.0%
popup,20.0%
navigation_menu,4.4%
input_form,16.7%
select_dialog,26.7%
calendar,6.7%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,28.3%
