List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,63.3%
open_with,44.4%
text_empty,10.0%
share_with,75.0%
list+on_off,60.0%
advertisement+button,5.0%
image_list,0.0%
popup_date,16.7%
movie,6.7%
menu_list,2.9%
translate_with_sound,100.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,7.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,24.4%
input_form,3.3%
select_dialog,36.7%
calendar,0.0%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,23.9%
