List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,13.3%
open_with,4.4%
text_empty,23.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,30.0%
image_list,64.4%
popup_date,0.0%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,15.0%
camera,90.0%
picture,6.7%
popup,33.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,0.0%
calendar,96.7%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,26.1%
