List,dec
text+button,5.6%
popup_with_access,6.7%
text_only,10.0%
open_with,2.2%
text_empty,20.0%
share_with,1.9%
list+on_off,91.4%
advertisement+button,85.0%
image_list,26.7%
popup_date,33.3%
movie,23.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,71.4%
list,10.0%
camera,37.5%
picture,53.3%
popup,33.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,86.7%
calendar,0.0%
text_image,6.7%
continue_button,21.4%
theme,0.0%
homescreen,0.0%
Total,26.1%
