List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,33.3%
open_with,48.9%
text_empty,0.0%
share_with,59.6%
list+on_off,2.9%
advertisement+button,72.5%
image_list,40.0%
popup_date,0.0%
movie,53.3%
menu_list,2.9%
translate_with_sound,100.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,2.5%
camera,90.0%
picture,40.0%
popup,6.7%
navigation_menu,62.2%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,11.9%
theme,95.5%
homescreen,0.0%
Total,36.1%
