List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,3.3%
open_with,24.4%
text_empty,3.3%
share_with,78.8%
list+on_off,94.3%
advertisement+button,25.0%
image_list,55.6%
popup_date,0.0%
movie,23.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,26.7%
translate,0.0%
image_view,15.0%
location_selection,23.3%
continue_as_name,75.0%
popup_with_full_screen,17.1%
pinpoint_location,56.7%
popup_with_continue_as_name,77.1%
list,25.0%
camera,7.5%
picture,0.0%
popup,0.0%
navigation_menu,8.9%
input_form,0.0%
select_dialog,63.3%
calendar,20.0%
text_image,6.7%
continue_button,0.0%
theme,4.5%
homescreen,0.0%
Total,27.8%
