List,dec
r31,16.7%
r7,0.0%
r10,0.0%
r21,0.0%
r34,17.1%
r4,10.0%
r33,97.1%
r12,16.7%
r13,2.9%
r6,0.0%
r29,100.0%
r3,13.3%
r24,2.5%
r32,0.0%
r16,23.3%
r28,0.0%
r25,10.0%
r23,5.6%
r18,6.7%
r11,22.2%
r27,96.0%
r5,62.5%
r17,3.3%
r19,0.0%
r8,0.0%
r1,6.7%
r30,23.3%
r22,2.4%
r26,33.3%
r9,0.0%
r14,0.0%
r2,0.0%
r20,12.5%
r15,36.7%
Total,20.7%
