List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,46.7%
open_with,53.3%
text_empty,0.0%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,2.2%
popup_date,66.7%
movie,10.0%
menu_list,40.0%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,64.0%
image_view,25.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,17.1%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,53.3%
popup,10.0%
navigation_menu,15.6%
input_form,16.7%
select_dialog,56.7%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,77.3%
homescreen,0.0%
Total,36.7%
