List,dec
c12,0.0%
c13,51.4%
c18,10.0%
c21,44.7%
c6,97.1%
c3,26.7%
c1,3.3%
c23,5.3%
c5,5.0%
c17,10.0%
c11,6.7%
c2,2.5%
c7,0.0%
c16,13.3%
c15,43.3%
c10,20.0%
c20,5.3%
c14,15.6%
c9,100.0%
c19,100.0%
c22,0.0%
c8,0.0%
c4,0.0%
Total,22.0%
