List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,10.0%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,65.7%
advertisement+button,60.0%
image_list,22.2%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,60.0%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,71.4%
list,2.5%
camera,2.5%
picture,0.0%
popup,20.0%
navigation_menu,4.4%
input_form,6.7%
select_dialog,53.3%
calendar,90.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,32.2%
