List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,13.3%
open_with,80.0%
text_empty,3.3%
share_with,80.8%
list+on_off,94.3%
advertisement+button,62.5%
image_list,33.3%
popup_date,50.0%
movie,20.0%
menu_list,17.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,62.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,36.7%
calendar,10.0%
text_image,10.0%
continue_button,2.4%
theme,18.2%
homescreen,20.0%
Total,32.6%
