List,dec
text+button,0.0%
popup_with_access,30.0%
text_only,16.7%
open_with,20.0%
text_empty,6.7%
share_with,1.9%
list+on_off,91.4%
advertisement+button,67.5%
image_list,22.2%
popup_date,50.0%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,46.7%
translate,0.0%
image_view,15.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,63.3%
popup_with_continue_as_name,77.1%
list,25.0%
camera,37.5%
picture,0.0%
popup,3.3%
navigation_menu,17.8%
input_form,46.7%
select_dialog,50.0%
calendar,70.0%
text_image,3.3%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,29.5%
