List,dec
text+button,22.2%
popup_with_access,0.0%
text_only,60.0%
open_with,2.2%
text_empty,6.7%
share_with,1.9%
list+on_off,91.4%
advertisement+button,67.5%
image_list,17.8%
popup_date,16.7%
movie,3.3%
menu_list,42.9%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,96.0%
image_view,12.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,7.5%
camera,57.5%
picture,40.0%
popup,10.0%
navigation_menu,28.9%
input_form,6.7%
select_dialog,16.7%
calendar,80.0%
text_image,16.7%
continue_button,2.4%
theme,18.2%
homescreen,20.0%
Total,26.4%
