List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,10.0%
open_with,4.4%
text_empty,3.3%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,33.3%
popup_date,0.0%
movie,33.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,62.5%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,23.3%
calendar,26.7%
text_image,0.0%
continue_button,11.9%
theme,18.2%
homescreen,0.0%
Total,24.1%
