List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,56.7%
open_with,17.8%
text_empty,0.0%
share_with,76.9%
list+on_off,20.0%
advertisement+button,17.5%
image_list,64.4%
popup_date,66.7%
movie,3.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,7.5%
camera,57.5%
picture,53.3%
popup,10.0%
navigation_menu,4.4%
input_form,6.7%
select_dialog,30.0%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,27.3%
