List,dec
text+button,5.6%
popup_with_access,6.7%
text_only,6.7%
open_with,4.4%
text_empty,10.0%
share_with,84.6%
list+on_off,11.4%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,50.0%
popup_with_continue_as_name,0.0%
list,5.0%
camera,0.0%
picture,0.0%
popup,26.7%
navigation_menu,11.1%
input_form,3.3%
select_dialog,30.0%
calendar,90.0%
text_image,20.0%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,25.1%
