List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,3.3%
open_with,80.0%
text_empty,3.3%
share_with,1.9%
list+on_off,94.3%
advertisement+button,75.0%
image_list,31.1%
popup_date,83.3%
movie,33.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,4.0%
image_view,22.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,6.7%
popup_with_continue_as_name,2.9%
list,62.5%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,23.3%
calendar,3.3%
text_image,10.0%
continue_button,11.9%
theme,18.2%
homescreen,0.0%
Total,24.1%
