List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,16.7%
open_with,22.2%
text_empty,26.7%
share_with,1.9%
list+on_off,22.9%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,43.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,60.0%
continue_as_name,100.0%
popup_with_full_screen,17.1%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,27.5%
camera,35.0%
picture,53.3%
popup,0.0%
navigation_menu,13.3%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,0.0%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,29.2%
