List,gaussian_mixture,kmeans
r31,0.0%,100.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,0.0%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,23.3%,40.0%
r13,97.1%,97.1%
r6,71.4%,71.4%
r29,100.0%,100.0%
r3,0.0%,13.3%
r24,10.0%,20.0%
r32,0.0%,0.0%
r16,53.3%,50.0%
r28,73.3%,97.8%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,6.7%,0.0%
r11,57.8%,57.8%
r27,96.0%,96.0%
r5,7.5%,0.0%
r17,6.7%,6.7%
r19,0.0%,0.0%
r8,76.7%,80.0%
r1,93.3%,3.3%
r30,0.0%,23.3%
r22,2.4%,0.0%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,33.3%,37.8%
r2,0.0%,37.5%
r20,20.0%,47.5%
r15,23.3%,56.7%
Total,39.8%,43.9%
