List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,14.3%,37.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,13.3%,30.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,94.2%,90.4%
r3,0.0%,0.0%
r24,0.0%,0.0%
r32,76.7%,0.0%
r16,40.0%,40.0%
r28,42.2%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,0.0%
r11,31.1%,31.1%
r27,96.0%,96.0%
r5,0.0%,40.0%
r17,30.0%,20.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,3.3%,0.0%
r22,9.5%,7.1%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,22.2%,22.2%
r2,97.5%,97.5%
r20,50.0%,50.0%
r15,56.7%,56.7%
Total,44.8%,47.6%
