List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,28.6%,17.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,46.7%,40.0%
r13,51.4%,85.7%
r6,94.3%,94.3%
r29,100.0%,90.4%
r3,0.0%,0.0%
r24,0.0%,5.0%
r32,100.0%,100.0%
r16,36.7%,20.0%
r28,73.3%,91.1%
r25,83.3%,83.3%
r23,11.1%,0.0%
r18,26.7%,23.3%
r11,42.2%,31.1%
r27,96.0%,96.0%
r5,50.0%,47.5%
r17,0.0%,46.7%
r19,0.0%,0.0%
r8,76.7%,80.0%
r1,0.0%,83.3%
r30,13.3%,0.0%
r22,0.0%,7.1%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,0.0%,15.6%
r2,92.5%,92.5%
r20,12.5%,0.0%
r15,83.3%,86.7%
Total,46.6%,48.9%
