List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,17.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,20.0%,40.0%
r13,85.7%,85.7%
r6,91.4%,91.4%
r29,96.2%,90.4%
r3,0.0%,0.0%
r24,10.0%,5.0%
r32,100.0%,100.0%
r16,43.3%,43.3%
r28,97.8%,97.8%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,10.0%,36.7%
r11,31.1%,22.2%
r27,96.0%,96.0%
r5,42.5%,10.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,83.3%,83.3%
r30,33.3%,10.0%
r22,0.0%,0.0%
r26,60.0%,0.0%
r9,100.0%,0.0%
r14,26.7%,4.4%
r2,92.5%,92.5%
r20,42.5%,32.5%
r15,83.3%,63.3%
Total,50.8%,45.5%
