List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,71.4%,74.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,50.0%,50.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,22.5%,0.0%
r32,96.7%,96.7%
r16,36.7%,36.7%
r28,97.8%,97.8%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,26.7%,26.7%
r11,17.8%,24.4%
r27,96.0%,96.0%
r5,27.5%,25.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,0.0%
r30,0.0%,0.0%
r22,7.1%,9.5%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,35.6%,33.3%
r2,32.5%,42.5%
r20,22.5%,25.0%
r15,60.0%,60.0%
Total,46.9%,49.0%
