List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,17.1%,0.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,91.4%
r6,71.4%,0.0%
r29,90.4%,92.3%
r3,0.0%,0.0%
r24,22.5%,5.0%
r32,100.0%,100.0%
r16,36.7%,36.7%
r28,97.8%,42.2%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,20.0%,10.0%
r11,20.0%,55.6%
r27,96.0%,96.0%
r5,27.5%,37.5%
r17,0.0%,26.7%
r19,0.0%,0.0%
r8,80.0%,76.7%
r1,86.7%,83.3%
r30,0.0%,6.7%
r22,4.8%,0.0%
r26,0.0%,60.0%
r9,0.0%,0.0%
r14,24.4%,24.4%
r2,65.0%,32.5%
r20,0.0%,57.5%
r15,70.0%,23.3%
Total,44.4%,40.8%
