List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,13.3%,40.0%
r13,91.4%,97.1%
r6,91.4%,97.1%
r29,40.4%,94.2%
r3,0.0%,0.0%
r24,22.5%,25.0%
r32,100.0%,100.0%
r16,40.0%,33.3%
r28,66.7%,66.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,16.7%,16.7%
r11,55.6%,55.6%
r27,96.0%,96.0%
r5,35.0%,0.0%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,80.0%,83.3%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,0.0%,0.0%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,4.4%,24.4%
r2,97.5%,97.5%
r20,47.5%,50.0%
r15,56.7%,56.7%
Total,45.1%,49.6%
