List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,11.4%,0.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,94.3%,91.4%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,25.0%,17.5%
r32,0.0%,0.0%
r16,43.3%,50.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,20.0%,23.3%
r11,42.2%,42.2%
r27,96.0%,96.0%
r5,27.5%,27.5%
r17,13.3%,3.3%
r19,0.0%,0.0%
r8,86.7%,83.3%
r1,70.0%,13.3%
r30,0.0%,6.7%
r22,7.1%,2.4%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,8.9%,17.8%
r2,32.5%,52.5%
r20,0.0%,0.0%
r15,0.0%,0.0%
Total,41.4%,40.6%
