List,gaussian_mixture,kmeans
r31,50.0%,83.3%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,25.7%,25.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,0.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,100.0%,100.0%
r3,0.0%,0.0%
r24,10.0%,0.0%
r32,100.0%,100.0%
r16,40.0%,53.3%
r28,0.0%,73.3%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,30.0%
r11,22.2%,22.2%
r27,96.0%,96.0%
r5,35.0%,35.0%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,83.3%,0.0%
r1,70.0%,66.7%
r30,3.3%,20.0%
r22,0.0%,14.3%
r26,60.0%,60.0%
r9,0.0%,0.0%
r14,60.0%,46.7%
r2,95.0%,95.0%
r20,32.5%,32.5%
r15,26.7%,56.7%
Total,43.2%,46.2%
