List,dec
c12,13.3%
c13,2.9%
c18,10.0%
c21,5.3%
c6,62.9%
c3,13.3%
c1,0.0%
c23,2.6%
c5,37.5%
c17,6.7%
c11,48.9%
c2,32.5%
c7,100.0%
c16,6.7%
c15,10.0%
c10,60.0%
c20,10.5%
c14,11.1%
c9,0.0%
c19,0.0%
c22,97.3%
c8,3.3%
c4,0.0%
Total,24.4%
