List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,3.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,25.0%
image_list,66.7%
popup_date,16.7%
movie,6.7%
menu_list,82.9%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,4.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,2.5%
camera,0.0%
picture,0.0%
popup,6.7%
navigation_menu,17.8%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,30.0%
