List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,50.0%
open_with,2.2%
text_empty,26.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,15.6%
popup_date,16.7%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,8.6%
list,25.0%
camera,0.0%
picture,0.0%
popup,16.7%
navigation_menu,6.7%
input_form,6.7%
select_dialog,6.7%
calendar,50.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,24.7%
