List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,3.3%
open_with,0.0%
text_empty,20.0%
share_with,94.2%
list+on_off,91.4%
advertisement+button,2.5%
image_list,20.0%
popup_date,33.3%
movie,6.7%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,40.0%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,25.0%
camera,0.0%
picture,93.3%
popup,20.0%
navigation_menu,2.2%
input_form,16.7%
select_dialog,3.3%
calendar,6.7%
text_image,20.0%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,23.2%
