List,dec
text+button,0.0%
popup_with_access,80.0%
text_only,36.7%
open_with,57.8%
text_empty,20.0%
share_with,76.9%
list+on_off,94.3%
advertisement+button,12.5%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,15.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,2.5%
camera,32.5%
picture,53.3%
popup,6.7%
navigation_menu,15.6%
input_form,0.0%
select_dialog,83.3%
calendar,16.7%
text_image,0.0%
continue_button,11.9%
theme,31.8%
homescreen,0.0%
Total,33.5%
