List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,13.3%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,68.6%
advertisement+button,25.0%
image_list,66.7%
popup_date,16.7%
movie,26.7%
menu_list,82.9%
translate_with_sound,11.8%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,6.7%
popup_with_continue_as_name,74.3%
list,10.0%
camera,2.5%
picture,40.0%
popup,6.7%
navigation_menu,13.3%
input_form,3.3%
select_dialog,56.7%
calendar,90.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,29.9%
