List,dec
r31,0.0%
r7,100.0%
r10,0.0%
r21,62.5%
r34,54.3%
r4,10.0%
r33,100.0%
r12,40.0%
r13,2.9%
r6,40.0%
r29,86.5%
r3,40.0%
r24,0.0%
r32,0.0%
r16,23.3%
r28,11.1%
r25,20.0%
r23,11.1%
r18,33.3%
r11,28.9%
r27,96.0%
r5,25.0%
r17,23.3%
r19,94.1%
r8,80.0%
r1,3.3%
r30,3.3%
r22,2.4%
r26,0.0%
r9,9.1%
r14,8.9%
r2,0.0%
r20,57.5%
r15,3.3%
Total,32.5%
