List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,13.3%
open_with,0.0%
text_empty,13.3%
share_with,94.2%
list+on_off,68.6%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,71.4%
list,2.5%
camera,0.0%
picture,53.3%
popup,16.7%
navigation_menu,15.6%
input_form,6.7%
select_dialog,56.7%
calendar,90.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,33.9%
