List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,6.7%
open_with,0.0%
text_empty,23.3%
share_with,94.2%
list+on_off,0.0%
advertisement+button,82.5%
image_list,20.0%
popup_date,0.0%
movie,53.3%
menu_list,2.9%
translate_with_sound,47.1%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,6.7%
popup_with_continue_as_name,82.9%
list,20.0%
camera,2.5%
picture,6.7%
popup,33.3%
navigation_menu,11.1%
input_form,13.3%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,25.0%
