List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,3.3%
open_with,53.3%
text_empty,16.7%
share_with,76.9%
list+on_off,71.4%
advertisement+button,0.0%
image_list,64.4%
popup_date,66.7%
movie,10.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,27.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,53.3%
popup,3.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,10.0%
calendar,10.0%
text_image,13.3%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,31.1%
