List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,3.3%
open_with,4.4%
text_empty,6.7%
share_with,94.2%
list+on_off,68.6%
advertisement+button,35.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,5.7%
list,65.0%
camera,35.0%
picture,0.0%
popup,3.3%
navigation_menu,8.9%
input_form,6.7%
select_dialog,23.3%
calendar,90.0%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,27.1%
