List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,13.3%
open_with,0.0%
text_empty,3.3%
share_with,63.5%
list+on_off,94.3%
advertisement+button,0.0%
image_list,57.8%
popup_date,0.0%
movie,20.0%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,0.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,63.3%
popup_with_continue_as_name,71.4%
list,0.0%
camera,35.0%
picture,0.0%
popup,0.0%
navigation_menu,0.0%
input_form,0.0%
select_dialog,66.7%
calendar,6.7%
text_image,0.0%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,24.7%
