List,gaussian_mixture,kmeans
r31,66.7%,16.7%
r7,0.0%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,5.7%,5.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,6.7%,0.0%
r13,97.1%,97.1%
r6,91.4%,0.0%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,5.0%,15.0%
r32,0.0%,0.0%
r16,53.3%,50.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,5.6%
r18,3.3%,20.0%
r11,55.6%,17.8%
r27,0.0%,0.0%
r5,0.0%,5.0%
r17,16.7%,10.0%
r19,0.0%,0.0%
r8,83.3%,86.7%
r1,70.0%,70.0%
r30,26.7%,23.3%
r22,4.8%,0.0%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,15.6%,20.0%
r2,100.0%,100.0%
r20,47.5%,32.5%
r15,0.0%,0.0%
Total,42.5%,39.7%
