List,gaussian_mixture,kmeans
r31,0.0%,100.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,37.1%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,25.0%,17.5%
r32,0.0%,100.0%
r16,36.7%,36.7%
r28,60.0%,66.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,23.3%
r11,73.3%,0.0%
r27,96.0%,96.0%
r5,35.0%,32.5%
r17,13.3%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,73.3%,0.0%
r30,23.3%,3.3%
r22,0.0%,0.0%
r26,0.0%,40.0%
r9,0.0%,100.0%
r14,0.0%,0.0%
r2,97.5%,95.0%
r20,45.0%,50.0%
r15,20.0%,20.0%
Total,44.0%,44.3%
