List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,5.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,0.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,6.7%,0.0%
r24,12.5%,12.5%
r32,20.0%,100.0%
r16,26.7%,23.3%
r28,53.3%,53.3%
r25,86.7%,83.3%
r23,0.0%,0.0%
r18,0.0%,0.0%
r11,31.1%,17.8%
r27,0.0%,96.0%
r5,0.0%,0.0%
r17,16.7%,3.3%
r19,0.0%,0.0%
r8,76.7%,76.7%
r1,13.3%,70.0%
r30,0.0%,3.3%
r22,7.1%,7.1%
r26,0.0%,0.0%
r9,100.0%,0.0%
r14,20.0%,6.7%
r2,100.0%,32.5%
r20,42.5%,45.0%
r15,73.3%,73.3%
Total,41.3%,40.7%
