List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,42.9%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,3.3%
r13,0.0%,97.1%
r6,91.4%,91.4%
r29,100.0%,90.4%
r3,0.0%,0.0%
r24,32.5%,17.5%
r32,0.0%,0.0%
r16,30.0%,30.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,11.1%,16.7%
r18,23.3%,23.3%
r11,17.8%,55.6%
r27,0.0%,0.0%
r5,5.0%,0.0%
r17,6.7%,13.3%
r19,0.0%,0.0%
r8,86.7%,86.7%
r1,66.7%,66.7%
r30,0.0%,43.3%
r22,4.8%,0.0%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,8.9%,22.2%
r2,100.0%,100.0%
r20,25.0%,25.0%
r15,0.0%,0.0%
Total,38.2%,45.1%
