List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,28.6%,25.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,65.7%,65.7%
r6,71.4%,91.4%
r29,100.0%,94.2%
r3,0.0%,0.0%
r24,25.0%,25.0%
r32,96.7%,0.0%
r16,43.3%,46.7%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,16.7%,0.0%
r11,31.1%,31.1%
r27,100.0%,100.0%
r5,47.5%,37.5%
r17,33.3%,26.7%
r19,0.0%,0.0%
r8,83.3%,86.7%
r1,0.0%,66.7%
r30,0.0%,0.0%
r22,0.0%,2.4%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,92.5%,82.5%
r20,42.5%,45.0%
r15,0.0%,90.0%
Total,47.5%,49.5%
