List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,25.7%,25.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,71.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,0.0%,0.0%
r32,0.0%,0.0%
r16,0.0%,50.0%
r28,97.8%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,53.3%,36.7%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,27.5%,27.5%
r17,0.0%,33.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,73.3%,73.3%
r30,30.0%,40.0%
r22,19.0%,0.0%
r26,60.0%,0.0%
r9,0.0%,0.0%
r14,26.7%,26.7%
r2,30.0%,45.0%
r20,47.5%,47.5%
r15,63.3%,63.3%
Total,47.6%,49.6%
