List,gaussian_mixture,kmeans
r31,100.0%,0.0%
r7,100.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,14.3%,11.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,100.0%,94.2%
r3,0.0%,0.0%
r24,0.0%,7.5%
r32,96.7%,96.7%
r16,40.0%,23.3%
r28,88.9%,88.9%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,23.3%
r11,42.2%,31.1%
r27,100.0%,0.0%
r5,0.0%,27.5%
r17,26.7%,26.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,70.0%,3.3%
r30,6.7%,6.7%
r22,4.8%,7.1%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,33.3%,4.4%
r2,87.5%,87.5%
r20,0.0%,100.0%
r15,63.3%,63.3%
Total,47.7%,43.4%
