List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,17.1%,22.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,71.4%,91.4%
r6,97.1%,94.3%
r29,90.4%,90.4%
r3,0.0%,13.3%
r24,0.0%,22.5%
r32,0.0%,0.0%
r16,43.3%,46.7%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,20.0%,16.7%
r11,42.2%,42.2%
r27,96.0%,96.0%
r5,47.5%,0.0%
r17,16.7%,16.7%
r19,0.0%,0.0%
r8,3.3%,73.3%
r1,66.7%,66.7%
r30,33.3%,30.0%
r22,4.8%,2.4%
r26,0.0%,100.0%
r9,100.0%,100.0%
r14,6.7%,0.0%
r2,50.0%,50.0%
r20,20.0%,0.0%
r15,73.3%,70.0%
Total,42.3%,44.5%
