List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,45.7%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,23.3%
r13,97.1%,97.1%
r6,0.0%,94.3%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,15.0%,15.0%
r32,0.0%,0.0%
r16,40.0%,40.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,6.7%,0.0%
r11,24.4%,24.4%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,6.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,73.3%,73.3%
r30,6.7%,0.0%
r22,4.8%,21.4%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,4.4%,6.7%
r2,62.5%,32.5%
r20,0.0%,27.5%
r15,63.3%,0.0%
Total,40.0%,40.5%
