List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,14.3%,22.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,30.0%,40.0%
r13,91.4%,91.4%
r6,97.1%,97.1%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,15.0%,15.0%
r32,0.0%,0.0%
r16,16.7%,16.7%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,31.1%,42.2%
r27,96.0%,96.0%
r5,30.0%,32.5%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,76.7%,76.7%
r1,80.0%,80.0%
r30,30.0%,0.0%
r22,16.7%,0.0%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,24.4%,22.2%
r2,85.0%,55.0%
r20,67.5%,55.0%
r15,63.3%,63.3%
Total,47.7%,46.8%
