List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,22.9%,17.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,0.0%
r13,91.4%,91.4%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,15.0%,25.0%
r32,100.0%,100.0%
r16,26.7%,30.0%
r28,53.3%,53.3%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,50.0%,50.0%
r11,31.1%,55.6%
r27,96.0%,96.0%
r5,12.5%,27.5%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,73.3%
r30,0.0%,0.0%
r22,0.0%,9.5%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,22.2%,15.6%
r2,60.0%,40.0%
r20,25.0%,0.0%
r15,93.3%,93.3%
Total,47.3%,47.7%
