List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,22.9%,31.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,36.7%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,84.6%,84.6%
r3,0.0%,0.0%
r24,25.0%,22.5%
r32,100.0%,100.0%
r16,43.3%,43.3%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,0.0%
r11,73.3%,31.1%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,86.7%
r30,10.0%,0.0%
r22,0.0%,16.7%
r26,60.0%,60.0%
r9,100.0%,0.0%
r14,28.9%,26.7%
r2,85.0%,85.0%
r20,62.5%,62.5%
r15,0.0%,63.3%
Total,50.2%,49.2%
