List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,0.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,23.3%,40.0%
r13,71.4%,71.4%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,27.5%,7.5%
r32,0.0%,0.0%
r16,40.0%,23.3%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,23.3%
r11,55.6%,31.1%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,6.7%,0.0%
r22,23.8%,9.5%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,42.2%,37.8%
r2,85.0%,85.0%
r20,62.5%,25.0%
r15,53.3%,70.0%
Total,49.7%,44.6%
