List,gaussian_mixture,kmeans
r31,100.0%,100.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,8.6%,8.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,43.3%,43.3%
r13,71.4%,88.6%
r6,0.0%,94.3%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,12.5%,12.5%
r32,20.0%,76.7%
r16,43.3%,50.0%
r28,66.7%,33.3%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,26.7%,0.0%
r11,95.6%,95.6%
r27,96.0%,96.0%
r5,5.0%,22.5%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,76.7%,70.0%
r30,20.0%,20.0%
r22,4.8%,2.4%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,4.4%,8.9%
r2,32.5%,12.5%
r20,0.0%,0.0%
r15,80.0%,80.0%
Total,38.5%,43.4%
