List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,76.7%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,0.0%,0.0%
r29,100.0%,100.0%
r3,0.0%,0.0%
r24,30.0%,30.0%
r32,100.0%,100.0%
r16,23.3%,10.0%
r28,75.6%,75.6%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,20.0%,0.0%
r11,20.0%,24.4%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,6.7%,6.7%
r19,0.0%,0.0%
r8,86.7%,80.0%
r1,0.0%,70.0%
r30,26.7%,20.0%
r22,0.0%,2.4%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,62.5%,35.0%
r20,32.5%,67.5%
r15,93.3%,93.3%
Total,45.3%,43.7%
