List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,30.0%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,85.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,5.7%
translate_with_sound,5.9%
IME,0.0%
dialer,20.0%
translate,92.0%
image_view,12.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,2.5%
camera,32.5%
picture,0.0%
popup,16.7%
navigation_menu,6.7%
input_form,6.7%
select_dialog,53.3%
calendar,90.0%
text_image,3.3%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,31.5%
