List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,3.3%
open_with,51.1%
text_empty,33.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,27.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,0.0%
camera,2.5%
picture,26.7%
popup,50.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,0.0%
calendar,66.7%
text_image,13.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,29.9%
