List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,36.7%
open_with,0.0%
text_empty,13.3%
share_with,94.2%
list+on_off,60.0%
advertisement+button,0.0%
image_list,0.0%
popup_date,0.0%
movie,43.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,22.9%
pinpoint_location,0.0%
popup_with_continue_as_name,82.9%
list,2.5%
camera,90.0%
picture,0.0%
popup,6.7%
navigation_menu,20.0%
input_form,10.0%
select_dialog,36.7%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,25.5%
